Vout_Sampled (fin=19531.25) X,Vout_Sampled (fin=19531.25) Y,Vout_Sampled (fin=29296.88) X,Vout_Sampled (fin=29296.88) Y,Vout_Sampled (fin=68359.38) X,Vout_Sampled (fin=68359.38) Y,Vout_Sampled (fin=166015.6) X,Vout_Sampled (fin=166015.6) Y,Vout_Sampled (fin=302734.4) X,Vout_Sampled (fin=302734.4) Y,Vout_Sampled (fin=517578.1) X,Vout_Sampled (fin=517578.1) Y,Vout_Sampled (fin=771484.4) X,Vout_Sampled (fin=771484.4) Y,Vout_Sampled (fin=1064453) X,Vout_Sampled (fin=1064453) Y,Vout_Sampled (fin=1533203) X,Vout_Sampled (fin=1533203) Y,Vout_Sampled (fin=1943359) X,Vout_Sampled (fin=1943359) Y,Vout_Sampled (fin=2568359) X,Vout_Sampled (fin=2568359) Y,Vout_Sampled (fin=3232422) X,Vout_Sampled (fin=3232422) Y,Vout_Sampled (fin=3916016) X,Vout_Sampled (fin=3916016) Y,Vout_Sampled (fin=4677734) X,Vout_Sampled (fin=4677734) Y,Vout_Sampled (fin=4970703) X,Vout_Sampled (fin=4970703) Y
1.25e-07,0.9049317711080141,1.25e-07,0.907396243045881,1.25e-07,0.9172583667216939,1.25e-07,0.9419018414668929,1.25e-07,0.9763439220552416,1.25e-07,1.030217986627449,1.25e-07,1.093255164102265,1.25e-07,1.164737661888379,1.25e-07,1.275151218672852,1.25e-07,1.36644932343413,1.25e-07,1.493201227962269,1.25e-07,1.607626775343967,1.25e-07,1.699533975060012,1.25e-07,1.766906768541038,1.25e-07,1.782308048025148
2.25e-07,0.9159134946992681,2.25e-07,0.9238689817021326,2.25e-07,0.9556646829043449,2.25e-07,1.034759029821578,2.25e-07,1.143563203637014,2.25e-07,1.30629692430972,2.25e-07,1.478189119306115,2.25e-07,1.637803753075506,2.25e-07,1.781330952412965,2.25e-07,1.7774417699677,2.25e-07,1.54416519755722,2.25e-07,1.076826560721722,2.25e-07,0.532195517066883,2.25e-07,0.09558214721580632,2.25e-07,0.02062037726396679
3.25e-07,0.9268935843841677,3.25e-07,0.9403330868753954,3.25e-07,0.9939686630090641,3.25e-07,1.126152494785073,3.25e-07,1.3019988167861,3.25e-07,1.539788334385577,3.25e-07,1.729916809238152,3.25e-07,1.792987465871829,3.25e-07,1.530996000739036,3.25e-07,1.034922409796622,3.25e-07,0.2514997184292999,3.25e-07,0.03543603619265223,3.25e-07,0.6721999010083377,3.25e-07,1.609148615051474,3.25e-07,1.776175064730315
4.25e-07,0.9378696234522447,4.25e-07,0.9567835074310165,4.25e-07,1.032099149363638,4.25e-07,1.2150867587544,4.25e-07,1.445933259284518,4.25e-07,1.70621379908284,4.25e-07,1.790436099023429,4.25e-07,1.563401804126336,4.25e-07,0.7389525146762237,4.25e-07,0.1149980007990182,4.25e-07,0.3116384434963934,4.25e-07,1.491262467819735,4.25e-07,1.62208050222483,4.25e-07,0.3152469335796788,4.25e-07,0.02733566396204495
5.249999999999999e-07,0.9488399478859917,5.249999999999999e-07,0.9732147024361903,5.249999999999999e-07,1.069986061859487,5.249999999999999e-07,1.30059604301129,5.249999999999999e-07,1.570175197129715,5.249999999999999e-07,1.788127693700483,5.249999999999999e-07,1.645794601565389,5.249999999999999e-07,1.047946830478358,5.249999999999999e-07,0.08517100102476571,5.249999999999999e-07,0.2271821953552353,5.249999999999999e-07,1.59902815785751,5.249999999999999e-07,1.239529590914829,5.249999999999999e-07,0.006070186948637229,5.249999999999999e-07,1.336724836632729,5.249999999999999e-07,1.768874609201793
6.249999999999999e-07,0.9598029234137919,6.249999999999999e-07,0.9896210898278871,6.249999999999999e-07,1.107559430309467,6.249999999999999e-07,1.381751100780476,6.249999999999999e-07,1.670242200683704,6.249999999999999e-07,1.776943209317149,6.249999999999999e-07,1.329310805169079,6.249999999999999e-07,0.4687379330185836,6.249999999999999e-07,0.1309144020830687,6.249999999999999e-07,1.223887041401399,6.249999999999999e-07,1.428453706635347,6.249999999999999e-07,0.007278716997943989,6.249999999999999e-07,1.566990194352395,6.249999999999999e-07,0.6295490763021435,6.249999999999999e-07,0.03524051912228457
7.249999999999999e-07,0.970756895254937,7.249999999999999e-07,1.005997110608579,7.249999999999999e-07,1.144749948002533,7.249999999999999e-07,1.45766963175964,7.249999999999999e-07,1.742526085075375,7.249999999999999e-07,1.673828512362982,7.249999999999999e-07,0.9139032975802552,7.249999999999999e-07,0.07536727661099295,7.249999999999999e-07,0.8368612044054655,7.249999999999999e-07,1.794810520109729,7.249999999999999e-07,0.1555886311612024,7.249999999999999e-07,1.353587879117074,7.249999999999999e-07,0.7577457693391764,7.249999999999999e-07,0.9936296946444036,7.249999999999999e-07,1.76038980962922
8.249999999999999e-07,0.98170020932476,8.249999999999999e-07,1.022337219338565,8.249999999999999e-07,1.18148902191468,8.249999999999999e-07,1.527525600323938,8.249999999999999e-07,1.784419630384942,8.249999999999999e-07,1.489591822944693,8.249999999999999e-07,0.4952927081684087,8.249999999999999e-07,0.03733833878897162,8.249999999999999e-07,1.596984798249983,8.249999999999999e-07,1.189410343164897,8.249999999999999e-07,0.4355945333784957,8.249999999999999e-07,1.389965337235842,8.249999999999999e-07,0.4543314527802561,8.249999999999999e-07,0.9875849260997098,8.249999999999999e-07,0.04431516728514966
9.249999999999999e-07,0.9926312183781212,9.249999999999999e-07,1.038635872396054,9.249999999999999e-07,1.217708876755269,9.249999999999999e-07,1.590559064213265,9.249999999999999e-07,1.794410306163145,9.249999999999999e-07,1.243544427345195,9.249999999999999e-07,0.1699352086122462,9.249999999999999e-07,0.3710177275911057,9.249999999999999e-07,1.758848672064894,9.249999999999999e-07,0.2034815683050142,9.249999999999999e-07,1.684280390618607,9.249999999999999e-07,0.01132850061982452,9.249999999999999e-07,1.73498187229909,9.249999999999999e-07,0.6353677012688516,9.249999999999999e-07,1.750732063371573
1.025e-06,1.003548276048538,1.025e-06,1.054887613123746,1.025e-06,1.253342690142195,1.025e-06,1.646087239404612,1.025e-06,1.772137048968158,1.025e-06,0.9614842073165328,1.025e-06,0.01279639464393789,1.025e-06,0.9326147018840899,1.025e-06,1.183445659755676,1.025e-06,0.133339419581737,1.025e-06,1.297177676149025,1.025e-06,1.199553633593004,1.025e-06,0.04840855351020545,1.025e-06,1.331408554016148,1.025e-06,0.05454572175146849
