sample(leafValue( Vout_cap "Cboot" 2e-13 ) 600n 512.6u "linear" 500n ) X,sample(leafValue( Vout_cap "Cboot" 2e-13 ) 600n 512.6u "linear" 500n ) Y
6e-07,0.8917172753440984
1.1e-06,-0.8828377587395058
1.6e-06,0.8683506828944209
2.1e-06,-0.8483347725253878
2.6e-06,0.8228604746309893
3.1e-06,-0.7923411321265201
3.6e-06,0.7566297034029899
4.1e-06,-0.7160939297686801
4.6e-06,0.6711498476173416
5.1e-06,-0.6217874019537236
5.6e-06,0.5685402616564754
6.1e-06,-0.5116556922663911
6.6e-06,0.451490065580789
7.1e-06,-0.3885625670009549
7.6e-06,0.3230235532631544
8.099999999999999e-06,-0.2556035854586377
8.599999999999999e-06,0.1863843725775857
9.099999999999999e-06,-0.1160561359484233
9.6e-06,0.04491470458180213
1.01e-05,0.02633798078342093
1.06e-05,-0.09759181011827484
1.11e-05,0.1682347498808429
1.16e-05,-0.2377037207178316
1.21e-05,0.3056186293120965
1.26e-05,-0.3717538410881736
1.31e-05,0.4354258522391691
1.36e-05,-0.4963574737848598
1.41e-05,0.5541035935372454
1.46e-05,-0.6083471383435751
1.51e-05,0.6587133989401494
1.56e-05,-0.704880368477111
1.61e-05,0.7465646414807359
1.66e-05,-0.7834862438407793
1.71e-05,0.8154455278511636
1.76e-05,-0.8422158844884845
1.81e-05,0.8636268512496242
1.86e-05,-0.8795549344818739
1.91e-05,0.8899095766516382
1.96e-05,-0.8945550221391947
2.01e-05,0.8935320828779414
2.06e-05,-0.8869053967616758
2.11e-05,0.8745747587908079
2.16e-05,-0.8566558317640631
2.21e-05,0.8333676947829618
2.26e-05,-0.8047272795432981
2.31e-05,0.77092693130172
2.36e-05,-0.7321926115167156
2.41e-05,0.6890069179644016
2.46e-05,-0.6412343256162447
2.51e-05,0.5894660224502252
2.56e-05,-0.5339398176746563
2.61e-05,0.4750518931022386
2.66e-05,-0.4130851679995113
2.71e-05,0.3484792987900517
2.76e-05,-0.2816430988979581
2.81e-05,0.2131722121857157
2.86e-05,-0.1431535139476695
2.91e-05,0.07230067813693014
2.96e-05,-0.0009284227566783786
3.01e-05,-0.07022420795423791
3.06e-05,0.1411750111791334
3.11e-05,-0.21103232463701
3.16e-05,0.2796668638248331
3.21e-05,-0.3465438696853989
3.26e-05,0.4112569096257622
3.31e-05,-0.4732737121733098
3.36e-05,0.5322784030108533
3.41e-05,-0.5879246958014352
3.46e-05,0.6398211492009085
3.51e-05,-0.6876417092934691
3.56e-05,0.7310878217264466
3.61e-05,-0.7698573426403627
3.66e-05,0.8037274158314376
3.71e-05,-0.832530270682509
3.76e-05,0.8560365740052848
3.81e-05,-0.8740842786960525
3.86e-05,0.8865976560774863
3.91e-05,-0.8934277399920539
3.96e-05,0.8946098579913861
4.01e-05,-0.8901345196698095
4.06e-05,0.8799563020479477
4.11e-05,-0.8641534223116174
4.16e-05,0.8429609232023629
4.21e-05,-0.8163084319208495
4.26e-05,0.7845533804415821
4.31e-05,-0.7477125395670239
4.36e-05,0.7061417973929114
4.41e-05,-0.6601623237778314
4.46e-05,0.6098391763397847
4.51e-05,-0.5557221756730477
4.56e-05,0.4981303730352441
4.61e-05,-0.437159702813721
4.66e-05,0.3736395011403806
4.71e-05,-0.3076182031762547
4.76e-05,0.2397471614009676
4.81e-05,-0.1702178034476219
4.86e-05,0.09966881084038769
4.91e-05,-0.02842989435297661
4.96e-05,-0.04288396148960412
5.01e-05,0.1140049395368187
5.06e-05,-0.1842753015018553
5.11e-05,0.2535537421898434
5.16e-05,-0.3210562700036108
5.21e-05,0.386678035370915
5.26e-05,-0.4497447452792679
5.31e-05,0.5099840730776521
5.36e-05,-0.5669476907824278
5.41e-05,0.6203232742763121
5.46e-05,-0.6697561416946045
5.51e-05,0.7149031703392379
5.56e-05,-0.7555137588595249
5.61e-05,0.7913093229691031
5.66e-05,-0.8220922230891399
5.71e-05,0.8476388398788711
5.76e-05,-0.8677931403350252
5.81e-05,0.8824403158040732
5.86e-05,-0.8914953702893549
5.91e-05,0.8948340922202591
5.96e-05,-0.8925274407562358
6.01e-05,0.8844832232094699
6.06e-05,-0.8709527725177563
6.109999999999999e-05,0.8517587796951046
6.159999999999999e-05,-0.8272273996303203
6.209999999999999e-05,0.797384067806122
6.26e-05,-0.7624340282912496
6.31e-05,0.7226140907002628
6.36e-05,-0.6783880484825019
6.41e-05,0.629641056603008
6.46e-05,-0.5769773674377076
6.51e-05,0.520630309410561
6.56e-05,-0.4609424219787931
6.609999999999999e-05,0.3984396565952247
6.659999999999999e-05,-0.3332493992618735
6.71e-05,0.2659286498701275
6.76e-05,-0.1971224291268408
6.81e-05,0.1269480142227954
6.86e-05,-0.05586345510238132
6.91e-05,-0.01535162083538269
6.96e-05,0.08678647896322154
7.01e-05,-0.1574525802797662
7.059999999999999e-05,0.2270526227767526
7.109999999999999e-05,-0.2952707785185181
7.159999999999999e-05,0.3616793577638011
7.21e-05,-0.4257973415393553
7.26e-05,0.4871801164683155
7.31e-05,-0.5454354733320845
7.36e-05,0.6002447633339054
7.41e-05,-0.6512305265062378
7.46e-05,0.6980644735052987
7.51e-05,-0.7404579231949239
7.559999999999999e-05,0.7781224663314037
7.609999999999999e-05,-0.8108779562305272
7.659999999999999e-05,0.838442071890654
7.71e-05,-0.860689474022467
7.76e-05,0.8774654448098427
7.81e-05,-0.8886862649519636
7.86e-05,0.8942025192175997
7.91e-05,-0.8940548768848352
7.96e-05,0.8882913124326931
8.01e-05,-0.8768255910452448
8.059999999999999e-05,0.8597572827828517
8.109999999999999e-05,-0.8372998493888272
8.159999999999999e-05,0.8094701617857359
8.21e-05,-0.7763748313407435
8.26e-05,0.7384385892217247
8.31e-05,-0.6959574690555645
8.36e-05,0.6488051485897545
8.41e-05,-0.597681310849682
8.46e-05,0.5427126333164258
8.509999999999999e-05,-0.4843370932994795
8.559999999999999e-05,0.4227073672303263
8.609999999999999e-05,-0.3585922070262172
8.659999999999999e-05,0.292066014889333
8.71e-05,-0.2238318707805395
8.76e-05,0.1539889139840242
8.81e-05,-0.08325730548504798
8.86e-05,0.01193598977452049
8.91e-05,0.05928017501078595
8.96e-05,-0.1303719888404394
9.009999999999999e-05,0.2003745665078333
9.059999999999999e-05,-0.2692107469802063
9.109999999999999e-05,0.3363875618650369
9.159999999999999e-05,-0.4014705788659886
9.21e-05,0.4639114037536286
