Sampled_Vgs (m=32) X,Sampled_Vgs (m=32) Y
8e-08,1.271800591848169
1.8e-07,1.23802970304547
2.8e-07,1.300544885645498
3.8e-07,1.21224123463027
4.8e-07,1.326856868851917
5.8e-07,1.188514030172583
6.799999999999999e-07,1.351632967924551
7.799999999999999e-07,1.166894415970511
8.799999999999999e-07,1.374227917482644
9.799999999999999e-07,1.145580949330948
1.08e-06,1.386744810293818
1.18e-06,1.127309375799938
1.28e-06,1.410950428103469
1.38e-06,1.112533275080995
1.48e-06,1.423871143852015
1.58e-06,1.10162870690686
1.68e-06,1.432764817054755
1.78e-06,1.094874511621856
1.88e-06,1.437399109226583
1.98e-06,1.092446991764104
2.08e-06,1.437647091471468
2.18e-06,1.094414259910978
2.28e-06,1.433495401405566
2.38e-06,1.100743232087229
2.48e-06,1.42505302803475
2.58e-06,1.111346838847082
2.68e-06,1.412538806058993
2.78e-06,1.125798957707689
2.88e-06,1.396269445378059
2.98e-06,1.143776128551933
3.08e-06,1.369257039275241
3.18e-06,1.164861433277548
3.28e-06,1.347262338070081
3.38e-06,1.188384708239776
3.48e-06,1.32292915539304
3.58e-06,1.213820187390692
3.68e-06,1.297069118195308
3.78e-06,1.240637103427859
3.88e-06,1.270213017569674
3.98e-06,1.268050948841453
4.08e-06,1.243138474986177
4.18e-06,1.295360581634274
4.28e-06,1.216960953083055
4.38e-06,1.321897398489024
4.48e-06,1.192961461944473
4.58e-06,1.347018757303341
4.68e-06,1.171291105645041
4.78e-06,1.370078571124588
4.88e-06,1.149462962662159
4.98e-06,1.383262241648149
5.08e-06,1.1305601625404
5.18e-06,1.399950825765341
5.279999999999999e-06,1.115084699623905
5.38e-06,1.421689880933805
5.48e-06,1.103409879324507
5.58e-06,1.431380286514606
5.68e-06,1.095842169531648
5.78e-06,1.436846214577761
5.88e-06,1.09257369495868
5.979999999999999e-06,1.437942315088175
6.08e-06,1.093692436095238
6.18e-06,1.43463232992266
6.28e-06,1.099233784193888
6.38e-06,1.427000782477341
6.48e-06,1.109011227745002
6.58e-06,1.41524828181431
6.68e-06,1.122734716449576
6.779999999999999e-06,1.399672608087539
6.879999999999999e-06,1.140059379837541
6.98e-06,1.373166203043654
7.08e-06,1.160590749342887
7.18e-06,1.351689186665003
7.28e-06,1.183673630380858
7.38e-06,1.327810516293231
7.48e-06,1.208790841200254
7.579999999999999e-06,1.302144580000327
7.679999999999999e-06,1.235411891613917
7.779999999999998e-06,1.275418257856904
7.879999999999999e-06,1.262765996138112
7.979999999999998e-06,1.248329515365061
8.079999999999999e-06,1.290148492466971
8.18e-06,1.221728926267775
8.279999999999999e-06,1.316882903188486
8.379999999999999e-06,1.197469508244709
8.479999999999998e-06,1.34232933023093
8.579999999999999e-06,1.175775254228917
8.679999999999998e-06,1.365832611082991
8.779999999999999e-06,1.153447043250268
8.88e-06,1.379653260966105
8.979999999999999e-06,1.13394317292719
9.079999999999999e-06,1.397023352541349
9.179999999999999e-06,1.117778912206076
9.279999999999999e-06,1.41936198072765
9.379999999999998e-06,1.105343546072827
9.479999999999999e-06,1.429838873142312
9.579999999999998e-06,1.096968647558089
9.679999999999999e-06,1.43613111285168
9.78e-06,1.092863017119792
9.879999999999999e-06,1.438074366026644
9.979999999999999e-06,1.0931376745535
1.008e-05,1.435608867335256
1.018e-05,1.09783988955613
1.028e-05,1.428795772353624
1.038e-05,1.106824230834255
1.048e-05,1.417816349244164
1.058e-05,1.119854731121619
1.068e-05,1.402950160508305
1.078e-05,1.136471161951931
1.088e-05,1.376961627601652
1.098e-05,1.156419044896685
1.108e-05,1.356026937696461
1.118e-05,1.1791169670317
1.128e-05,1.332556748213128
1.138e-05,1.203923671552787
1.148e-05,1.307186558244635
1.158e-05,1.230214060426724
1.168e-05,1.280610139422501
1.178e-05,1.257481804236418
1.188e-05,1.253530310582943
1.198e-05,1.284911495205216
1.208e-05,1.22664987106072
1.218e-05,1.311819879879102
1.228e-05,1.202032699288925
1.238e-05,1.337565272360562
1.248e-05,1.180342461202783
1.258e-05,1.361491708771126
1.268e-05,1.157542687199643
1.278e-05,1.375923596591822
1.288e-05,1.137447395968461
1.298e-05,1.393958094448119
1.308e-05,1.120609437820044
1.318e-05,1.416887771283265
1.328e-05,1.107426473723799
1.338e-05,1.428141621134348
1.348e-05,1.098253193681271
1.358e-05,1.435254920089166
1.368e-05,1.093313654700285
1.378e-05,1.438043383516113
1.388e-05,1.092743338341053
1.398e-05,1.436424465738836
1.408e-05,1.096571178040281
1.418e-05,1.430436729034457
1.428e-05,1.104785682273437
1.438e-05,1.420240308362588
1.448e-05,1.117065007132952
1.458e-05,1.406096898146695
1.468e-05,1.132997911423455
1.478e-05,1.380639375971009
1.488e-05,1.15235011167405
1.498e-05,1.360278735154131
1.508e-05,1.174566738173437
1.518e-05,1.337236217644488
1.528e-05,1.198997947255944
1.538e-05,1.31218729585914
1.548e-05,1.225047606658381
1.558e-05,1.285786296580209
1.568e-05,1.252203639121828
1.578e-05,1.258741049576855
1.588e-05,1.279656523199241
1.598e-05,1.231776671924928
1.608e-05,1.30671529897977
1.618e-05,1.206646730144897
1.628e-05,1.332734298909154
1.638e-05,1.18498868712026
1.648e-05,1.35706161336685
1.658e-05,1.161737519782032
1.668e-05,1.379072064258457
1.678e-05,1.141074612465947
1.688e-05,1.390757978777322
1.698e-05,1.123575081692906
1.708e-05,1.414275495652941
1.718e-05,1.109659651477907
1.728e-05,1.42629135046578
1.738e-05,1.099694802693767
1.748e-05,1.43421835412193
1.758e-05,1.093926063683057
1.768e-05,1.437848092920276
1.778e-05,1.092510130382206
1.788e-05,1.437077758685221
1.798e-05,1.095495292861874
1.808e-05,1.43192167444424
1.818e-05,1.102901700090669
1.828e-05,1.422518903317693
1.838e-05,1.114415987646662
1.848e-05,1.40910278312954
1.858e-05,1.129649146018485
1.868e-05,1.392022827750102
1.878e-05,1.148386602842792
1.888e-05,1.364422191135962
1.898e-05,1.17010183380639
1.908e-05,1.341839469333499
1.918e-05,1.194133796766441
1.928e-05,1.317071746544268
1.938e-05,1.21991851189092
1.948e-05,1.290933567304249
1.958e-05,1.246936356458305
1.968e-05,1.263961207788934
1.978e-05,1.274386943553767
1.988e-05,1.236928360726747
1.998e-05,1.301575153825814
2.008e-05,1.211304017278585
2.018e-05,1.327842343645415
2.028e-05,1.187631899527897
2.038e-05,1.352546054321398
2.048e-05,1.166025636140776
2.058e-05,1.375045907237981
2.068e-05,1.144818486724563
2.078e-05,1.387426909327304
2.088e-05,1.126673726205459
